call volatility,put volatility,call Option prices,strike Prce,put Opion prices,spot price,risk free return %,time period,,,PREDICTED PUT VALUES BY OUR MODEL,,PREDICTED CALL VALUES BY OUR MODEL
6.33,13.67,820,18600,65,19265.8,0.1,0.087,,,53.38737702,,828.0310576
7.22,13.54,822,18650,66.85,19265.8,0.1,0.087,,,59.1416512,,781.4170234
5.98,13.41,707,18700,75,19265.8,0.1,0.087,,,65.47014763,,729.4929604
6.72,13.3,680,18750,82.1,19265.8,0.1,0.087,,,72.71512575,,683.4642584
5.68,13.2,626.3,18800,91.15,19265.8,0.1,0.087,,,80.82318209,,631.4927484
6.79,13.04,619.6,18850,102,19265.8,0.1,0.087,,,88.73129611,,589.6289921
7.43,13.08,540.25,18900,113.05,19265.8,0.1,0.087,,,100.8080335,,549.6425264
8.72,12.95,514.85,18950,122.65,19265.8,0.1,0.087,,,110.9465709,,522.2239763
8.49,13,473.6,19000,139,19265.8,0.1,0.087,,,125.3708529,,478.0978211
9.42,12.88,449.3,19050,154.9,19265.8,0.1,0.087,,,137.699243,,454.1877002
8.65,12.78,400.75,19100,165.05,19265.8,0.1,0.087,,,151.4630807,,403.2894874
9.65,12.75,383.45,19150,180.35,19265.8,0.1,0.087,,,167.7996528,,386.4428743
8.82,12.66,333.2,19200,199.95,19265.8,0.1,0.087,,,184.098426,,335.9882109
8.77,12.62,300,19250,216.1,19265.8,0.1,0.087,,,202.7137656,,302.3963499
8.86,12.51,271.4,19300,236,19265.8,0.1,0.087,,,221.0832554,,273.6395946
8.82,12.4,239,19350,265.4,19265.8,0.1,0.087,,,240.7510989,,243.9892634
8.74,12.43,213.35,19400,280.3,19265.8,0.1,0.087,,,264.9279213,,215.3429357
8.72,12.5,190.05,19450,310.2,19265.8,0.1,0.087,,,291.406774,,189.9998991
8.72,12.44,166.75,19500,332,19265.8,0.1,0.087,,,316.3226974,,167.0815893
8.63,12.51,145,19550,358.7,19265.8,0.1,0.087,,,345.5424503,,144.1208542
8.51,12.39,124.5,19600,390,19265.8,0.1,0.087,,,371.8683562,,122.5302368
8.47,12.42,106.2,19650,417.45,19265.8,0.1,0.087,,,402.8772354,,104.6544617
8.61,12.44,90.95,19700,455,19265.8,0.1,0.087,,,434.9520874,,92.21603201
8.41,12.67,78,19750,485,19265.8,0.1,0.087,,,472.6394903,,74.86059228
8.55,12.94,64.45,19800,530.3,19265.8,0.1,0.087,,,512.0981051,,65.49341236
8.48,13.19,55.5,19850,546.2,19265.8,0.1,0.087,,,551.9988522,,53.89474942
8.46,13.28,45.95,19900,608,19265.8,0.1,0.087,,,589.6212849,,44.59588835
8.58,12.26,40.9,19950,625.6,19265.8,0.1,0.087,,,608.1218724,,38.47144337
8.67,13.96,34.65,20000,695,19265.8,0.1,0.087,,,676.5043289,,32.80818898
8.65,13.21,28.75,20050,720,19265.8,0.1,0.087,,,702.0560809,,26.72544159
8.76,13.18,24.5,20100,759.1,19265.8,0.1,0.087,,,741.3774153,,22.86100901
8.88,12.28,21.2,20150,786,19265.8,0.1,0.087,,,768.9992952,,19.64005527
9,14.85,18.5,20200,867,19265.8,0.1,0.087,,,848.4326062,,16.87962294
9.14,14.87,16,20250,908,19265.8,0.1,0.087,,,889.5956329,,14.65929486
9.34,15.99,14.25,20300,967.25,19265.8,0.1,0.087,,,947.5408353,,13.14396583
